1200;1050;900;1200;1050;900;1200;1050;900
10;10;10;1;1;1;0.1;0.1;0.1
1.76E+13;3.04E+13;4.86E+13;1.22E+13;2.29E+13;3.91E+13;5.28E+12;1.67E+13;2.55E+13
1.77E+13;3.07E+13;4.91E+13;1.22E+13;2.31E+13;3.94E+13;5.26E+12;1.68E+13;2.57E+13
1.78E+13;3.09E+13;4.95E+13;1.22E+13;2.32E+13;3.98E+13;5.25E+12;1.69E+13;2.59E+13
1.79E+13;3.11E+13;4.99E+13;1.23E+13;2.33E+13;4.01E+13;5.24E+12;1.70E+13;2.61E+13
1.79E+13;3.13E+13;5.04E+13;1.23E+13;2.35E+13;4.04E+13;5.23E+12;1.70E+13;2.63E+13
1.80E+13;3.15E+13;5.08E+13;1.23E+13;2.36E+13;4.07E+13;5.22E+12;1.71E+13;2.64E+13
1.81E+13;3.17E+13;5.12E+13;1.24E+13;2.37E+13;4.11E+13;5.21E+12;1.72E+13;2.66E+13
1.82E+13;3.19E+13;5.17E+13;1.24E+13;2.39E+13;4.14E+13;5.20E+12;1.73E+13;2.68E+13
1.82E+13;3.21E+13;5.21E+13;1.24E+13;2.40E+13;4.17E+13;5.19E+12;1.73E+13;2.69E+13
1.83E+13;3.23E+13;5.25E+13;1.25E+13;2.41E+13;4.20E+13;5.19E+12;1.74E+13;2.71E+13
1.84E+13;3.25E+13;5.29E+13;1.25E+13;2.43E+13;4.23E+13;5.18E+12;1.75E+13;2.73E+13
1.84E+13;3.27E+13;5.34E+13;1.25E+13;2.44E+13;4.27E+13;5.17E+12;1.76E+13;2.75E+13
1.85E+13;3.29E+13;5.38E+13;1.26E+13;2.45E+13;4.30E+13;5.17E+12;1.76E+13;2.76E+13
1.86E+13;3.31E+13;5.42E+13;1.26E+13;2.46E+13;4.33E+13;5.17E+12;1.77E+13;2.78E+13
1.86E+13;3.33E+13;5.46E+13;1.26E+13;2.48E+13;4.36E+13;5.16E+12;1.78E+13;2.79E+13
1.87E+13;3.35E+13;5.50E+13;1.26E+13;2.49E+13;4.39E+13;5.16E+12;1.78E+13;2.81E+13
1.87E+13;3.37E+13;5.54E+13;1.27E+13;2.50E+13;4.42E+13;5.16E+12;1.79E+13;2.83E+13
1.88E+13;3.39E+13;5.59E+13;1.27E+13;2.51E+13;4.46E+13;5.15E+12;1.80E+13;2.84E+13
1.89E+13;3.41E+13;5.63E+13;1.27E+13;2.52E+13;4.49E+13;5.15E+12;1.80E+13;2.86E+13
